service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,0,20200210,20200612
2,0,0,0,0,0,0,0,20200209,20200614
3,0,0,0,0,0,0,0,20200209,20200614
4,0,0,0,0,0,0,0,20200209,20200614
5,0,0,0,0,0,0,0,20200214,20200613
6,0,0,0,0,0,0,0,20200210,20200618
7,0,0,0,0,0,0,0,20200209,20200618
8,0,0,0,0,0,0,0,20200210,20200618
9,0,0,0,0,0,0,0,20200209,20200614
10,0,0,0,0,0,0,0,20200209,20200209
11,0,0,0,0,0,0,0,20200215,20200614
12,0,0,0,0,0,0,0,20200215,20200613
13,0,0,0,0,0,0,0,20200214,20200612
14,0,0,0,0,0,0,0,20200209,20200614
15,0,0,0,0,0,0,0,20200210,20200611
16,0,0,0,0,0,0,0,20200210,20200614
17,0,0,0,0,0,0,0,20200214,20200613
18,0,0,0,0,0,0,0,20200210,20200614
19,0,0,0,0,0,0,0,20200210,20200611
20,0,0,0,0,0,0,0,20200210,20200609
21,0,0,0,0,0,0,0,20200210,20200608
22,0,0,0,0,0,0,0,20200214,20200612
23,0,0,0,0,0,0,0,20200217,20200612
24,0,0,0,0,0,0,0,20200215,20200613
25,0,0,0,0,0,0,0,20200209,20200614
26,0,0,0,0,0,0,0,20200410,20200606
27,0,0,0,0,0,0,0,20200210,20200608
28,0,0,0,0,0,0,0,20200212,20200603
29,0,0,0,0,0,0,0,20200211,20200609
30,0,0,0,0,0,0,0,20200211,20200609
31,0,0,0,0,0,0,0,20200210,20200609
32,0,0,0,0,0,0,0,20200210,20200608
33,0,0,0,0,0,0,0,20200210,20200608
34,0,0,0,0,0,0,0,20200211,20200609
35,0,0,0,0,0,0,0,20200210,20200608
36,0,0,0,0,0,0,0,20200214,20200605
37,0,0,0,0,0,0,0,20200213,20200604
38,0,0,0,0,0,0,0,20200210,20200608
39,0,0,0,0,0,0,0,20200210,20200609
40,0,0,0,0,0,0,0,20200211,20200609
41,0,0,0,0,0,0,0,20200210,20200609
42,0,0,0,0,0,0,0,20200212,20200605
43,0,0,0,0,0,0,0,20200211,20200609
44,0,0,0,0,0,0,0,20200210,20200608
45,0,0,0,0,0,0,0,20200213,20200605
46,0,0,0,0,0,0,0,20200211,20200609
47,0,0,0,0,0,0,0,20200210,20200612
48,0,0,0,0,0,0,0,20200212,20200610
49,0,0,0,0,0,0,0,20200217,20200612
50,0,0,0,0,0,0,0,20200219,20200610
51,0,0,0,0,0,0,0,20200409,20200520
52,0,0,0,0,0,0,0,20200214,20200612
53,0,0,0,0,0,0,0,20200210,20200609
54,0,0,0,0,0,0,0,20200210,20200609
55,0,0,0,0,0,0,0,20200210,20200609
56,0,0,0,0,0,0,0,20200212,20200605
57,0,0,0,0,0,0,0,20200210,20200611
58,0,0,0,0,0,0,0,20200209,20200614
59,0,0,0,0,0,0,0,20200224,20200612
60,0,0,0,0,0,0,0,20200210,20200611
61,0,0,0,0,0,0,0,20200210,20200611
62,0,0,0,0,0,0,0,20200212,20200610
63,0,0,0,0,0,0,0,20200214,20200605
64,0,0,0,0,0,0,0,20200211,20200609
65,0,0,0,0,0,0,0,20200210,20200611
66,0,0,0,0,0,0,0,20200214,20200612
67,0,0,0,0,0,0,0,20200210,20200613
68,0,0,0,0,0,0,0,20200211,20200618
69,0,0,0,0,0,0,0,20200209,20200618
70,0,0,0,0,0,0,0,20200313,20200320
71,0,0,0,0,0,0,0,20200210,20200618
72,0,0,0,0,0,0,0,20200410,20200606
73,0,0,0,0,0,0,0,20200209,20200614
74,0,0,0,0,0,0,0,20200212,20200219
